"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2020-09-25","90.0","1.26","6.16","Clayton Kershaw",664058,477132,"field_out","hit_into_play",,,,,"4","David Fletcher flies out to center fielder Cody Bellinger.  ","R","R","L","LAD","LAA","X",8,"fly_ball",2,1,2020,"-0.3","1.6","-0.56","2.35","null",545358,"null",2,4,"Top","102.61","90.74",,,"605131",,"null",-3.8567771529599,-130.9493956711726,-6.887477514330493,-2.8730577255745544,27.050114957587805,-12.588795081012888,"3.19","1.53","266","75.2","32","90.0","2526","6.3",631336,477132,"605131","571970","571771","457759","608369","572041","641355","605141","54.23","0.207","0.186","0.00",1,0,0,3,34,"4","4-Seam Fastball",2,4,4,2,4,2,4,2,"Strategic","Standard"
"FF","2020-09-25","90.4","1.43","6.13","Clayton Kershaw",664058,477132,"null","foul",,,,,"6","null","R","R","L","LAD","LAA","S","null","null",2,0,2020,"-0.2","1.5","0.63","2.66","null",545358,"null",2,4,"Top","null","null",,,"605131",,"null",-1.5893226319408948,-131.6361924753972,-5.907190100367725,-1.9290072423726443,28.00769509836509,-13.788573502797568,"3.19","1.53","271","83.1","36","90.4","2454","6.3",631336,477132,"605131","571970","571771","457759","608369","572041","641355","605141","54.25","null","null","null","null","null","null","null",34,"3","4-Seam Fastball",2,4,4,2,4,2,4,2,"Strategic","Standard"
"SL","2020-09-25","88.0","1.38","6.12","Clayton Kershaw",664058,477132,"null","blocked_ball",,,,,"13","null","R","R","L","LAD","LAA","B","null","null",1,0,2020,"-0.4","0.7","-0.83","0.07","null",545358,"null",2,4,"Top","null","null",,,"605131",,"null",-4.447717600287846,-127.80761365674294,-10.092324264346539,-3.8777946224090236,25.227747259237695,-22.191363766538934,"3.19","1.53","null","null","null","87.9","2665","6.3",631336,477132,"605131","571970","571771","457759","608369","572041","641355","605141","54.23","null","null","null","null","null","null","null",34,"2","Slider",2,4,4,2,4,2,4,2,"Standard","Standard"
"FF","2020-09-25","90.2","1.42","6.09","Clayton Kershaw",664058,477132,"null","ball",,,,,"14","null","R","R","L","LAD","LAA","B","null","null",0,0,2020,"-0.4","1.7","0.25","1.06","null",545358,"null",2,4,"Top","null","null",,,"605131",,"null",-2.049258464876506,-131.03224715289647,-10.061238335512098,-4.190430189647136,28.299465880938182,-11.207077014260346,"3.06","1.53","null","null","null","90.3","2498","6.5",631336,477132,"605131","571970","571771","457759","608369","572041","641355","605141","54.04","null","null","null","null","null","null","null",34,"1","4-Seam Fastball",2,4,4,2,4,2,4,2,"Standard","Standard"
"CU","2020-09-25","72.9","1.01","6.40","Clayton Kershaw",650859,477132,"strikeout","swinging_strike",,,,,"6","Luis Rengifo strikes out swinging.  ","R","R","L","LAD","LAA","S",2,"null",2,2,2020,"-0.2","-1.4","0.68","2.18","null",545358,"null",1,4,"Top","null","null",,,"605131",,"null",-0.31815897985728014,-106.12608222006342,1.4307451976543817,-1.4239585052547095,20.193542827501762,-43.43862569575926,"3.23","1.52","null","null","null","72.6","2496","6.3",631336,477132,"605131","571970","571771","457759","608369","572041","641355","605141","54.24","null","null","0.00",1,0,0,"null",33,"8","Curveball",2,4,4,2,4,2,4,2,"Infield shift","Standard"
"SL","2020-09-25","86.4","1.39","6.23","Clayton Kershaw",650859,477132,"null","foul",,,,,"5","null","R","R","L","LAD","LAA","S","null","null",2,2,2020,"-0.5","0.4","-0.15","2.43","null",545358,"null",1,4,"Top","null","null",,,"605131",,"null",-2.644965421765839,-125.83152315976461,-3.7956132623863046,-4.86594669011532,23.690299433386627,-26.92740297067746,"3.23","1.52","null","null","null","86.7","2560","6.3",631336,477132,"605131","571970","571771","457759","608369","572041","641355","605141","54.21","null","null","null","null","null","null","null",33,"7","Slider",2,4,4,2,4,2,4,2,"Infield shift","Standard"
"FF","2020-09-25","90.5","1.33","6.20","Clayton Kershaw",650859,477132,"null","foul",,,,,"5","null","R","R","L","LAD","LAA","S","null","null",2,2,2020,"-0.2","1.5","0.20","2.10","null",545358,"null",1,4,"Top","null","null",,,"605131",,"null",-2.4632197647952903,-131.61138596972387,-7.547581990316972,-1.3894700872512702,27.527655012115844,-12.964300461562598,"3.23","1.52","221","69.5","32","90.3","2412","6.2",631336,477132,"605131","571970","571771","457759","608369","572041","641355","605141","54.34","null","null","null","null","null","null","null",33,"6","4-Seam Fastball",2,4,4,2,4,2,4,2,"Infield shift","Standard"
"SL","2020-09-25","86.4","1.29","6.21","Clayton Kershaw",650859,477132,"null","blocked_ball",,,,,"13","null","R","R","L","LAD","LAA","B","null","null",1,2,2020,"-0.5","0.8","-0.49","0.34","null",545358,"null",1,4,"Top","null","null",,,"605131",,"null",-3.2772956620979627,-125.61182869588205,-9.455834600217873,-4.414693249988031,24.52714674254314,-21.67613458801065,"3.23","1.52","null","null","null","86.4","2651","6.3",631336,477132,"605131","571970","571771","457759","608369","572041","641355","605141","54.22","null","null","null","null","null","null","null",33,"5","Slider",2,4,4,2,4,2,4,2,"Infield shift","Standard"
"CU","2020-09-25","72.8","1.02","6.32","Clayton Kershaw",650859,477132,"null","foul",,,,,"13","null","R","R","L","LAD","LAA","S","null","null",1,2,2020,"-0.6","-1.5","-0.05","1.10","null",545358,"null",1,4,"Top","null","null",,,"605131",,"null",-1.1111303630087106,-105.98015999383534,-0.497709585966839,-4.26361069843162,19.51401627843543,-43.455602246386825,"3.23","1.52","3","34.1","-67","72.6","2632","6.3",631336,477132,"605131","571970","571771","457759","608369","572041","641355","605141","54.23","null","null","null","null","null","null","null",33,"4","Curveball",2,4,4,2,4,2,4,2,"Infield shift","Standard"
"SL","2020-09-25","86.4","1.33","6.19","Clayton Kershaw",650859,477132,"null","ball",,,,,"13","null","R","R","L","LAD","LAA","B","null","null",0,2,2020,"-0.5","0.7","-0.24","1.00","null",545358,"null",1,4,"Top","null","null",,,"605131",,"null",-2.7314285666919367,-125.72124357627746,-7.696713159918636,-4.828775583919528,23.75935734783123,-23.11379205440981,"3.23","1.52","null","null","null","86.8","2692","6.4",631336,477132,"605131","571970","571771","457759","608369","572041","641355","605141","54.09","null","null","null","null","null","null","null",33,"3","Slider",2,4,4,2,4,2,4,2,"Infield shift","Standard"
