"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"KC","2020-09-23","85.3","-1.29","5.69","Shane Bieber",547989,669456,"strikeout","swinging_strike_blocked",,,,,"14","Jose Abreu strikes out swinging.  ","R","R","R","CLE","CWS","S",2,"null",0,2,2020,"0.8","-1.1","0.79","-0.09",663611,"null",660162,2,5,"Top","null","null",,,"547379",,"null",3.313676931136506,-124.17993944276144,-5.033005236969467,7.439749147730508,26.00693977115544,-42.881554787208174,"3.47","1.61","null","null","null","85.5","2504","6.5",631534,669456,"547379","467793","514917","608070","596019","656669","640458","571980","54.01","null","null","0.00",1,0,0,"null",37,"3","Knuckle Curve",1,1,1,1,1,1,1,1,"Standard","Standard"
"FC","2020-09-23","89.9","-1.25","5.64","Shane Bieber",547989,669456,"null","foul",,,,,"6","null","R","R","R","CLE","CWS","S","null","null",0,1,2020,"0.1","0.5","0.69","2.69",663611,"null",660162,2,5,"Top","null","null",,,"547379",,"null",4.574326438813732,-131.06428735681257,-2.5305238721096606,0.6676451766091539,23.569470903460495,-25.917203618372152,"3.47","1.61","null","null","null","90.9","2723","6.5",631534,669456,"547379","467793","514917","608070","596019","656669","640458","571980","54.02","null","null","null","null","null","null","null",37,"2","Cutter",1,1,1,1,1,1,1,1,"Standard","Standard"
"FC","2020-09-23","90.5","-1.25","5.66","Shane Bieber",547989,669456,"null","called_strike",,,,,"14","null","R","R","R","CLE","CWS","S","null","null",0,0,2020,"0.0","0.7","0.87","1.80",663611,"null",660162,2,5,"Top","null","null",,,"547379",,"null",5.299443187749266,-131.85375710963788,-5.308700440970372,-0.8448862753017438,23.030345324748783,-23.073976876222854,"3.45","1.58","null","null","null","91.5","2684","6.4",631534,669456,"547379","467793","514917","608070","596019","656669","640458","571980","54.10","null","null","null","null","null","null","null",37,"1","Cutter",1,1,1,1,1,1,1,1,"Standard","Standard"
"FF","2020-09-23","93.7","-1.28","5.65","Shane Bieber",660162,669456,"walk","ball",,,,,"11","Yoan Moncada walks.  ","R","L","R","CLE","CWS","B","null","null",3,2,2020,"-0.7","1.5","-1.09","3.28",663611,"null","null",2,5,"Top","null","null",,,"547379",,"null",1.9661652584308142,-136.51841325756703,-3.7355408707980606,-8.710608166411424,29.484648107973573,-12.877699106115065,"3.41","1.56","null","null","null","94.5","2343","6.6",631534,669456,"547379","467793","514917","608070","596019","656669","640458","571980","53.87","null","null","0.70",1,0,0,"null",36,"7","4-Seam Fastball",1,1,1,1,1,1,1,1,"Standard","Standard"
"FF","2020-09-23","94.1","-1.18","5.60","Shane Bieber",660162,669456,"null","foul",,,,,"13","null","R","L","R","CLE","CWS","S","null","null",3,2,2020,"-0.9","1.5","-0.62","1.20",663611,"null","null",2,5,"Top","null","null",,,"547379",,"null",3.4021210356020957,-136.8086879143625,-9.06819047280804,-11.62833939276528,30.994488114012636,-11.535509427957722,"3.30","1.53","null","null","null","94.6","2448","6.7",631534,669456,"547379","467793","514917","608070","596019","656669","640458","571980","53.79","null","null","null","null","null","null","null",36,"6","4-Seam Fastball",1,1,1,1,1,1,1,1,"Standard","Standard"
"CH","2020-09-23","89.2","-1.26","5.52","Shane Bieber",660162,669456,"null","called_strike",,,,,"8","null","R","L","R","CLE","CWS","S","null","null",3,1,2020,"-1.4","0.4","0.12","1.41",663611,"null","null",2,5,"Top","null","null",,,"547379",,"null",6.356328032487447,-129.81925280980704,-4.865929884933986,-17.256408721146173,26.181553139245338,-27.272146355055785,"3.36","1.53","null","null","null","89.6","1681","6.4",631534,669456,"547379","467793","514917","608070","596019","656669","640458","571980","54.05","null","null","null","null","null","null","null",36,"5","Changeup",1,1,1,1,1,1,1,1,"Strategic","Standard"
"CH","2020-09-23","89.9","-1.26","5.51","Shane Bieber",660162,669456,"null","ball",,,,,"13","null","R","L","R","CLE","CWS","B","null","null",2,1,2020,"-1.4","0.4","-0.06","0.26","null",663611,"null",2,5,"Top","null","null",,,"547379",,"null",6.062244051642268,-130.6586856940088,-7.825262520640635,-17.8654652201589,26.755996198773328,-26.659294262845528,"3.31","1.46","null","null","null","90.4","1496","6.6",631534,669456,"547379","467793","514917","608070","596019","656669","640458","571980","53.92","null","null","null","null","null","null","null",36,"4","Changeup",1,1,1,1,1,1,1,1,"Strategic","Standard"
"KC","2020-09-23","84.8","-1.21","5.65","Shane Bieber",660162,669456,"null","blocked_ball",,,,,"14","null","R","L","R","CLE","CWS","B","null","null",1,1,2020,"1.2","-1.0","0.44","-0.26","null",663611,"null",2,5,"Top","null","null",,,"547379",,"null",1.5513364037926338,-123.43286571032107,-5.406597804917064,11.445910431850177,25.811632496706437,-41.759582583225956,"3.33","1.49","null","null","null","84.9","2585","6.4",631534,669456,"547379","467793","514917","608070","596019","656669","640458","571980","54.06","null","null","null","null","null","null","null",36,"3","Knuckle Curve",1,1,1,1,1,1,1,1,"Strategic","Standard"
"KC","2020-09-23","84.6","-1.07","5.64","Shane Bieber",660162,669456,"null","ball",,,,,"14","null","R","L","R","CLE","CWS","B","null","null",0,1,2020,"0.8","-1.3","1.09","-1.01","null","null",663611,2,5,"Top","null","null",,,"547379",,"null",3.5060766117743873,-122.97433059878075,-6.591452216416494,7.093347339520453,26.643234724255095,-43.72267392619028,"3.36","1.44","null","null","null","84.6","2463","6.5",631534,669456,"547379","467793","514917","608070","596019","656669","640458","571980","53.96","null","null","null","null","null","null","null",36,"2","Knuckle Curve",1,1,1,1,1,1,1,1,"Strategic","Standard"
"FF","2020-09-23","93.5","-1.17","5.62","Shane Bieber",660162,669456,"null","foul",,,,,"2","null","R","L","R","CLE","CWS","S","null","null",0,0,2020,"-0.9","1.5","-0.01","2.84","null","null",663611,2,5,"Top","null","null",,,"547379",,"null",4.897963338043404,-135.96912991175864,-4.702904019888116,-11.684415782791609,30.802757578856784,-12.885606445847241,"3.30","1.53","null","null","null","93.9","2397","6.7",631534,669456,"547379","467793","514917","608070","596019","656669","640458","571980","53.85","null","null","null","null","null","null","null",36,"1","4-Seam Fastball",1,1,1,1,1,1,1,1,"Strategic","Standard"
"FF","2020-09-23","94.2","-1.06","5.67","Shane Bieber",641313,669456,"strikeout","swinging_strike",,,,,"12","Tim Anderson strikes out swinging.  ","R","R","R","CLE","CWS","S",2,"null",1,2,2020,"-0.6","1.5","0.91","2.69","null","null",663611,1,5,"Top","null","null",,,"547379",,"null",6.598067643094964,-136.92441568116533,-5.328346183324404,-9.650409374246314,31.190224659023993,-12.557338685084153,"3.32","1.54","null","null","null","94.5","2426","6.6",631534,669456,"547379","467793","514917","608070","596019","656669","640458","571980","53.89","null","null","0.00",1,0,0,"null",35,"5","4-Seam Fastball",1,1,1,1,1,1,1,1,"Standard","Standard"
"KC","2020-09-23","84.8","-1.22","5.66","Shane Bieber",641313,669456,"null","blocked_ball",,,,,"14","null","R","R","R","CLE","CWS","B","null","null",0,2,2020,"0.8","-1.3","1.25","-1.39","null","null",663611,1,5,"Top","null","null",,,"547379",,"null",4.257286619617621,-123.25353059062684,-7.481601112272543,6.766346341947926,26.873814891451744,-43.874814954925405,"3.33","1.62","null","null","null","84.5","2421","6.4",631534,669456,"547379","467793","514917","608070","596019","656669","640458","571980","54.14","null","null","null","null","null","null","null",35,"4","Knuckle Curve",1,1,1,1,1,1,1,1,"Standard","Standard"
"KC","2020-09-23","84.9","-1.19","5.61","Shane Bieber",641313,669456,"null","foul",,,,,"14","null","R","R","R","CLE","CWS","S","null","null",0,2,2020,"0.6","-1.3","0.39","0.65","null","null",663611,1,5,"Top","null","null",,,"547379",,"null",2.4264587956435384,-123.67740653368597,-2.7486752676934945,6.06340946370919,25.238513579485833,-44.914570035164544,"3.32","1.54","2","23.5","31","85.5","2252","6.7",631534,669456,"547379","467793","514917","608070","596019","656669","640458","571980","53.82","null","null","null","null","null","null","null",35,"3","Knuckle Curve",1,1,1,1,1,1,1,1,"Standard","Standard"
"FF","2020-09-23","94.2","-1.00","5.66","Shane Bieber",641313,669456,"null","called_strike",,,,,"12","null","R","R","R","CLE","CWS","S","null","null",0,1,2020,"-0.7","1.6","0.92","2.50","null","null",663611,1,5,"Top","null","null",,,"547379",,"null",6.592821490575075,-136.96673063990724,-6.075429712044264,-10.412447858446466,29.092704430300934,-10.925301743542098,"3.28","1.62","null","null","null","94.9","2450","6.7",631534,669456,"547379","467793","514917","608070","596019","656669","640458","571980","53.85","null","null","null","null","null","null","null",35,"2","4-Seam Fastball",1,1,1,1,1,1,1,1,"Standard","Standard"
"FC","2020-09-23","89.4","-1.21","5.64","Shane Bieber",641313,669456,"null","called_strike",,,,,"9","null","R","R","R","CLE","CWS","S","null","null",0,0,2020,"0.2","0.7","0.47","1.60","null","null",663611,1,5,"Top","null","null",,,"547379",,"null",3.7766162716699694,-130.29614135975618,-5.512996427275351,1.3910939401921307,22.847377575813088,-23.63672914431365,"3.37","1.59","null","null","null","90.4","2525","6.5",631534,669456,"547379","467793","514917","608070","596019","656669","640458","571980","54.03","null","null","null","null","null","null","null",35,"1","Cutter",1,1,1,1,1,1,1,1,"Standard","Standard"
"FF","2020-09-23","94.2","-1.26","5.70","Shane Bieber",663611,669456,"single","hit_into_play_no_out",,,,,"1","Nick Madrigal singles on a ground ball to center fielder Oscar Mercado.  ","R","R","R","CLE","CWS","X",8,"ground_ball",0,0,2020,"-0.6","1.5","-0.60","2.93","null","null","null",1,5,"Top","127.51","105.32",,,"547379",,"null",3.0482574541417256,-137.1900821371661,-4.954965232726739,-8.162793081099453,29.06282512404149,-11.897405632407887,"2.83","1.32","104","96.1","4","94.9","2326","6.5",631534,669456,"547379","467793","514917","608070","596019","656669","640458","571980","53.96","0.550","0.495","0.90",1,1,0,4,34,"1","4-Seam Fastball",1,1,1,1,1,1,1,1,"Strategic","Strategic"
