"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"KC","2020-09-23","80.8","-1.25","5.89","Trevor Bauer",592885,545333,"strikeout","swinging_strike_blocked",,,,,"14","Christian Yelich strikes out swinging.  ","R","L","R","CIN","MIL","S",2,"null",0,2,2020,"0.9","-1.7","1.08","-1.33","null","null",541645,2,8,"Top","null","null",,,"571466",,"null",3.5587698945800184,-117.37992391438247,-5.976395765217589,6.966359301974574,26.491716246550048,-46.875734604216234,"3.28","1.72","null","null","null","80.1","2881","6.4",631583,545333,"571466","519058","520471","553993","571657","606157","673451","592206","54.15","null","null","0.00",1,0,0,"null",59,"3","Knuckle Curve",6,1,1,6,1,6,1,6,"Infield shift","Standard"
"KC","2020-09-23","79.6","-1.44","5.91","Trevor Bauer",592885,545333,"null","foul",,,,,"13","null","R","L","R","CIN","MIL","S","null","null",0,1,2020,"0.6","-1.6","-0.32","1.40","null","null",541645,2,8,"Top","null","null",,,"571466",,"null",1.2417161301508322,-115.86545513169882,-0.03903826480370953,5.482094405162799,24.608533650260377,-46.676595039435696,"3.28","1.72","null","null","null","79.1","2842","6.2",631583,545333,"571466","519058","520471","553993","571657","606157","673451","592206","54.26","null","null","null","null","null","null","null",59,"2","Knuckle Curve",6,1,1,6,1,6,1,6,"Infield shift","Standard"
"KC","2020-09-23","78.1","-1.38","5.99","Trevor Bauer",592885,545333,"null","swinging_strike",,,,,"7","null","R","L","R","CIN","MIL","S","null","null",0,0,2020,"0.7","-1.6","-0.33","1.79","null","null",541645,2,8,"Top","null","null",,,"571466",,"null",0.9012780735401487,-113.64405870418193,0.9530847844390562,6.083765214711164,23.458351624584637,-46.7526543062518,"3.28","1.72","null","null","null","77.6","2866","6.2",631583,545333,"571466","519058","520471","553993","571657","606157","673451","592206","54.29","null","null","null","null","null","null","null",59,"1","Knuckle Curve",6,1,1,6,1,6,1,6,"Infield shift","Standard"
"SL","2020-09-23","79.5","-1.73","5.58","Trevor Bauer",541645,545333,"single","hit_into_play_no_out",,,,,"3","Avisail Garcia singles on a line drive to left fielder Aristides Aquino.  ","R","R","R","CIN","MIL","X",7,"line_drive",0,0,2020,"1.6","0.0","0.28","3.19","null","null","null",2,8,"Top","72.23","107.58",,,"571466",,"null",1.4667984900557425,-115.77662917590385,1.6306337853186827,13.702231448416132,23.366871765983134,-33.03021238339635,"3.55","1.63","253","89.6","19","79.2","2793","6.2",631583,545333,"571466","519058","520471","553993","571657","606157","673451","592206","54.30","0.557","0.501","0.90",1,1,0,4,58,"1","Slider",6,1,1,6,1,6,1,6,"Standard","Standard"
"KC","2020-09-23","77.8","-1.28","5.98","Trevor Bauer",553882,545333,"strikeout","swinging_strike_blocked",,,,,"14","Omar Narvaez strikes out swinging.  ","R","L","R","CIN","MIL","S",2,"null",1,2,2020,"0.8","-1.7","0.54","0.82","null","null","null",1,8,"Top","null","null",,,"571466",,"null",2.3641136631239066,-113.20332697459247,-0.9174253200412013,6.601856984097722,25.207907149293792,-46.443170046081846,"3.17","1.52","null","null","null","77.2","3061","6.4",631583,545333,"571466","519058","520471","553993","571657","606157","673451","592206","54.12","null","null","0.00",1,0,0,"null",57,"4","Knuckle Curve",6,1,1,6,1,6,1,6,"Infield shift","Standard"
"SL","2020-09-23","77.7","-1.86","5.58","Trevor Bauer",553882,545333,"null","foul",,,,,"4","null","R","L","R","CIN","MIL","S","null","null",1,1,2020,"1.6","-0.1","-0.65","2.38","null","null","null",1,8,"Top","null","null",,,"571466",,"null",-0.39173921835012193,-113.17962755633775,0.3081291317584296,13.9552144763207,21.729330489987266,-33.57456920949323,"3.17","1.52","187","73.3","56","77.3","2743","6.1",631583,545333,"571466","519058","520471","553993","571657","606157","673451","592206","54.41","null","null","null","null","null","null","null",57,"3","Slider",6,1,1,6,1,6,1,6,"Infield shift","Standard"
"FF","2020-09-23","92.3","-1.46","5.76","Trevor Bauer",553882,545333,"null","called_strike",,,,,"3","null","R","L","R","CIN","MIL","S","null","null",1,0,2020,"-0.7","1.6","0.36","2.79","null","null","null",1,8,"Top","null","null",,,"571466",,"null",6.162869925976434,-134.15924055719574,-5.2448418722427546,-9.844381771099236,30.613649822357154,-11.476058035473901,"3.31","1.48","null","null","null","92.0","2605","6.3",631583,545333,"571466","519058","520471","553993","571657","606157","673451","592206","54.23","null","null","null","null","null","null","null",57,"2","4-Seam Fastball",6,1,1,6,1,6,1,6,"Infield shift","Standard"
"SL","2020-09-23","77.9","-1.93","5.56","Trevor Bauer",553882,545333,"null","ball",,,,,"8","null","R","L","R","CIN","MIL","B","null","null",0,0,2020,"1.3","0.2","0.25","1.46","null","null","null",1,8,"Top","null","null",,,"571466",,"null",2.2234945825943044,-113.3957384336169,-2.2772683932179145,11.013340969655486,21.8700837277232,-30.032976867738743,"3.08","1.38","null","null","null","77.6","2664","6.2",631583,545333,"571466","519058","520471","553993","571657","606157","673451","592206","54.29","null","null","null","null","null","null","null",57,"1","Slider",6,1,1,6,1,6,1,6,"Infield shift","Standard"
"FF","2020-09-23","90.6","-1.59","5.64","Trevor Bauer",519299,545333,"field_out","hit_into_play",,,,,"2","Eric Sogard flies out to right fielder Nick Castellanos.  ","R","L","R","CIN","MIL","X",9,"fly_ball",0,0,2020,"-0.8","1.6","-0.05","3.18","null","null","null",0,8,"Top","181.07","57.19",,,"571466",,"null",5.588604972824661,-131.85266486843594,-3.659779865507358,-10.712747308903555,28.952586129355176,-12.785677454973813,"3.30","1.50","360","92.2","30","90.6","2604","6.4",631583,545333,"571466","519058","520471","553993","571657","606157","673451","592206","54.11","0.129","0.194","0.00",1,0,0,3,56,"1","4-Seam Fastball",6,1,1,6,1,6,1,6,"Strategic","Standard"
"SL","2020-09-23","79.4","-1.82","5.59","Trevor Bauer",606115,545333,"field_out","hit_into_play",,,,,"8","Orlando Arcia grounds out, third baseman Eugenio Suarez to first baseman Joey Votto.  ","R","R","R","CIN","MIL","X",5,"ground_ball",1,1,2020,"1.6","-0.2","0.23","1.93","null","null","null",2,7,"Top","100.03","159.84",,,"571466",,"null",1.5113010648953078,-115.68973692866824,-0.9445726432644659,13.954740043172473,22.064183716462473,-33.608577400044226,"3.41","1.63","26","87.5","-3","79.4","2821","6.3",631583,545333,"571466","458015","519058","553993","520471","606157","673451","592206","54.24","0.221","0.199","0.00",1,0,0,2,52,"3","Slider",6,1,1,6,1,6,1,6,"Standard","Standard"
"SL","2020-09-23","80.3","-1.70","5.52","Trevor Bauer",606115,545333,"null","ball",,,,,"14","null","R","R","R","CIN","MIL","B","null","null",0,1,2020,"1.2","0.0","0.96","1.70","null","null","null",2,7,"Top","null","null",,,"571466",,"null",3.539470958133121,-116.98880416535523,-1.8053122910970383,10.729888683059215,21.273830037871342,-32.02179160500452,"3.50","1.64","null","null","null","80.5","2828","6.3",631583,545333,"571466","458015","519058","553993","520471","606157","673451","592206","54.24","null","null","null","null","null","null","null",52,"2","Slider",6,1,1,6,1,6,1,6,"Standard","Standard"
"SL","2020-09-23","78.6","-1.78","5.60","Trevor Bauer",606115,545333,"null","swinging_strike",,,,,"14","null","R","R","R","CIN","MIL","S","null","null",0,0,2020,"1.5","-0.2","0.65","1.10","null","null","null",2,7,"Top","null","null",,,"571466",,"null",2.532325897269527,-114.48268693337668,-2.6592435941454324,12.549833556446545,21.27717408005805,-33.213667337375966,"3.41","1.63","null","null","null","78.6","2777","6.2",631583,545333,"571466","458015","519058","553993","520471","606157","673451","592206","54.26","null","null","null","null","null","null","null",52,"1","Slider",6,1,1,6,1,6,1,6,"Standard","Standard"
"FF","2020-09-23","93.8","-1.49","5.72","Trevor Bauer",607054,545333,"strikeout","swinging_strike",,,,,"2","Jace Peterson strikes out swinging.  ","R","L","R","CIN","MIL","S",2,"null",3,2,2020,"-0.7","1.6","-0.04","3.34","null","null","null",1,7,"Top","null","null",,,"571466",,"null",5.203853008279041,-136.55118253283854,-3.983724633238766,-9.375352209707096,29.761472393316236,-11.322500757410932,"3.25","1.52","null","null","null","94.0","2712","6.3",631583,545333,"571466","458015","519058","553993","520471","606157","673451","592206","54.16","null","null","0.00",1,0,0,"null",51,"6","4-Seam Fastball",6,1,1,6,1,6,1,6,"Infield shift","Standard"
"FF","2020-09-23","92.8","-1.51","5.78","Trevor Bauer",607054,545333,"null","ball",,,,,"11","null","R","L","R","CIN","MIL","B","null","null",2,2,2020,"-0.7","1.7","-1.21","5.14","null","null","null",1,7,"Top","null","null",,,"571466",,"null",2.3178088654060396,-135.19776749254441,0.5167905203310266,-9.074736026085079,30.433125111734746,-12.194232352838975,"3.23","1.56","null","null","null","92.9","2793","6.3",631583,545333,"571466","458015","519058","553993","520471","606157","673451","592206","54.16","null","null","null","null","null","null","null",51,"5","4-Seam Fastball",6,1,1,6,1,6,1,6,"Infield shift","Standard"
"KC","2020-09-23","80.6","-1.34","5.95","Trevor Bauer",607054,545333,"null","ball",,,,,"14","null","R","L","R","CIN","MIL","B","null","null",1,2,2020,"0.8","-1.7","0.48","-0.13","null","null","null",1,7,"Top","null","null",,,"571466",,"null",2.5153165360735628,-117.15485199198477,-3.4748679221511423,6.644513615723772,27.80237921530392,-46.6420243126818,"3.24","1.49","null","null","null","79.6","3074","6.2",631583,545333,"571466","458015","519058","553993","520471","606157","673451","592206","54.26","null","null","null","null","null","null","null",51,"4","Knuckle Curve",6,1,1,6,1,6,1,6,"Infield shift","Standard"
"KC","2020-09-23","78.1","-1.31","6.05","Trevor Bauer",607054,545333,"null","foul",,,,,"13","null","R","L","R","CIN","MIL","S","null","null",1,1,2020,"0.8","-1.6","-0.07","1.38","null","null","null",1,7,"Top","null","null",,,"571466",,"null",1.2119496353255876,-113.5730685075927,0.002267474622820176,6.527425912226449,24.631596739729055,-46.441047036997695,"3.25","1.52","4","54.5","-30","77.3","2809","6.2",631583,545333,"571466","458015","519058","553993","520471","606157","673451","592206","54.30","null","null","null","null","null","null","null",51,"3","Knuckle Curve",6,1,1,6,1,6,1,6,"Infield shift","Standard"
